
1445564132.872:  AA AA 04 80 02 03 D3 A7
1445564132.872:  AA AA 04 80 02 01 D0 AC
1445564132.872:  AA AA 04 80 02 FE 45 3A
1445564132.872:  AA AA 04 80 02 FE 9D E2
1445564132.876:  AA AA 04 80 02 01 EC 90
1445564132.877:  AA AA 04 80 02 01 E9 93
1445564132.877:  AA AA 04 80 02 FE 5A 25
1445564132.877:  AA AA 04 80 02 FE 2B 54
1445564132.886:  AA AA 04 80 02 02 35 46
1445564132.886:  AA AA 04 80 02 03 59 21
1445564132.886:  AA AA 04 80 02 FF DD A1
1445564132.886:  AA AA 04 80 02 FD C4 BC
1445564132.886:  AA AA 04 80 02 00 00 7D
1445564132.891:  AA AA 04 80 02 02 BC BF
1445564132.891:  AA AA 04 80 02 00 62 1B
1445564132.902:  AA AA 04 80 02 FD 59 27
1445564132.902:  AA AA 04 80 02 FF AF CF
1445564132.902:  AA AA 04 80 02 03 B1 C9
1445564132.902:  AA AA 04 80 02 02 48 33
1445564132.902:  AA AA 04 80 02 FE E9 96
1445564132.902:  AA AA 04 80 02 FE 9D E2
1445564132.918:  AA AA 04 80 02 01 61 1B
1445564132.918:  AA AA 04 80 02 01 A8 D4
1445564132.918:  AA AA 04 80 02 FD D4 AC
1445564132.918:  AA AA 04 80 02 FC A4 DD
1445564132.918:  AA AA 04 80 02 00 3B 42
1445564132.918:  AA AA 04 80 02 02 0C 6F
1445564132.918:  AA AA 04 80 02 FE B3 CC
1445564132.919:  AA AA 04 80 02 FB EA 98
1445564132.922:  AA AA 04 80 02 FD 8A F6
1445564132.922:  AA AA 04 80 02 00 DD A0
1445564132.952:  AA AA 04 80 02 FF 9D E1
1445564132.952:  AA AA 04 80 02 FC AA D7
1445564132.952:  AA AA 04 80 02 FE 38 47
1445564132.952:  AA AA 04 80 02 02 69 12
1445564132.952:  AA AA 04 80 02 01 C2 BA
1445564132.952:  AA AA 04 80 02 FD FF 81
1445564132.952:  AA AA 04 80 02 FD 13 6D
1445564132.954:  AA AA 04 80 02 00 2A 53
1445564132.954:  AA AA 04 80 02 01 CA B2
1445564132.966:  AA AA 04 80 02 FE A3 DC
1445564132.966:  AA AA 04 80 02 FC FD 84
1445564132.966:  AA AA 04 80 02 00 72 0B
1445564132.966:  AA AA 04 80 02 03 5C 1E
1445564132.966:  AA AA 04 80 02 00 C8 B5
1445564132.966:  AA AA 04 80 02 FD DC A4
1445564132.966:  AA AA 04 80 02 FE F8 87
1445564132.966:  AA AA 04 80 02 02 32 49
1445564132.966:  AA AA 04 80 02 01 59 23
1445564132.967:  AA AA 04 80 02 FD FF 81
1445564132.967:  AA AA 04 80 02 FE D2 AD
1445564132.974:  AA AA 04 80 02 03 0C 6E
1445564132.974:  AA AA 04 80 02 03 50 2A
1445564132.974:  AA AA 04 80 02 FF B2 CC
1445564132.974:  AA AA 04 80 02 FE 2A 55
1445564132.974:  AA AA 04 80 02 00 8D F0
1445564132.974:  AA AA 04 80 02 02 87 F4
1445564132.974:  AA AA 04 80 02 FF B5 C9
1445564132.985:  AA AA 04 80 02 FD 62 1E
1445564132.985:  AA AA 04 80 02 00 39 44
1445564132.985:  AA AA 04 80 02 03 A6 D4
1445564132.985:  AA AA 04 80 02 01 85 F7
1445564132.985:  AA AA 04 80 02 FE 45 3A
1445564132.985:  AA AA 04 80 02 FE F8 87
1445564133.002:  AA AA 04 80 02 02 76 05
1445564133.002:  AA AA 04 80 02 02 3B 40
1445564133.002:  AA AA 04 80 02 FE 66 19
1445564133.002:  AA AA 04 80 02 FD FD 83
1445564133.002:  AA AA 04 80 02 02 03 78
1445564133.002:  AA AA 04 80 02 03 2C 4E
1445564133.002:  AA AA 04 80 02 FF CA B4
1445564133.002:  AA AA 04 80 02 FD AF D1
1445564133.006:  AA AA 04 80 02 FF C9 B5
1445564133.006:  AA AA 04 80 02 02 4B 30
1445564133.018:  AA AA 04 80 02 FF C7 B7
1445564133.018:  AA AA 04 80 02 FD 09 77
1445564133.018:  AA AA 04 80 02 FF 75 09
1445564133.018:  AA AA 04 80 02 03 7C FE
1445564133.018:  AA AA 04 80 02 01 F2 8A
1445564133.018:  AA AA 04 80 02 FE 49 36
1445564133.018:  AA AA 04 80 02 FE 2E 51
1445564133.023:  AA AA 04 80 02 01 67 15
1445564133.023:  AA AA 04 80 02 01 FB 81
1445564133.036:  AA AA 04 80 02 FE 6F 10
1445564133.036:  AA AA 04 80 02 FD 8C F4
1445564133.036:  AA AA 04 80 02 01 55 27
1445564133.036:  AA AA 04 80 02 03 12 68
1445564133.036:  AA AA 04 80 02 FF BA C4
1445564133.036:  AA AA 04 80 02 FD 38 48
1445564133.036:  AA AA 04 80 02 FF 0A 74
1445564133.042:  AA AA 04 80 02 02 36 45
1445564133.042:  AA AA 04 80 02 00 95 E8
1445564133.052:  AA AA 04 80 02 FD 77 09
1445564133.052:  AA AA 04 80 02 FF 0A 74
1445564133.052:  AA AA 04 80 02 02 FA 81
1445564133.052:  AA AA 04 80 02 02 18 63
1445564133.052:  AA AA 04 80 02 FE 96 E9
1445564133.053:  AA AA 04 80 02 FD FF 81
1445564133.086:  AA AA 04 80 02 01 05 77
1445564133.086:  AA AA 04 80 02 02 46 35
1445564133.086:  AA AA 04 80 02 FF 0A 74
1445564133.086:  AA AA 04 80 02 FE 02 7D
1445564133.086:  AA AA 04 80 02 02 E6 95
1445564133.086:  AA AA 04 80 02 07 0A 6C
1445564133.086:  AA AA 04 80 02 04 F0 89
1445564133.086:  AA AA 04 80 02 02 20 5B
1445564133.086:  AA AA 04 80 02 03 87 F3
1445564133.091:  AA AA 04 80 02 07 05 71
