DateTime,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low GammaHigh,GammaPool,Attention,Meditation
2016/02/13/ 19:58:14.01602,1579787,8651789,8126609,13500745,12976272,3342560,12124193,2555930,50,38
2016/02/13/ 19:58:15.03169,1575583,10289326,9043989,14811154,2359332,15401022,8716302,7798792,63,37
2016/02/13/ 19:58:16.01612,1583199,8980443,5047107,16056816,5570881,10289330,6226105,9895981,54,43
2016/02/13/ 19:58:17.03179,1577006,7209236,5177405,6225957,5177391,13172773,6619152,9699332,51,38
2016/02/13/ 19:58:18.01622,1577792,10948271,14811611,16450112,655479,3866980,14417982,16515124,41,44
2016/02/13/ 19:58:19.00064,1573945,15532127,1572897,1703968,16056340,131084,7667718,10485765,27,56
2016/02/13/ 19:58:20.00069,1574983,5443349,16384572,8126603,6160669,10354891,12583011,13828158,26,47
2016/02/13/ 19:58:20.98511,1574616,5243691,15007858,10158105,6815828,5177423,1048608,16711689,23,40
2016/02/13/ 19:58:22.00079,1574328,8323735,16187497,3735848,16515167,14680238,15007813,1114143,29,44
2016/02/13/ 19:58:22.98521,1578783,14680478,5636151,3866705,786784,6881358,8847375,8912905,37,35
2016/02/13/ 19:58:23.96963,1579545,3735679,5308492,15663138,9437217,13959199,13631519,720908,48,44
2016/02/13/ 19:58:24.98531,1576175,5571904,15466655,327756,13304117,12255348,13107308,5898337,47,44
2016/02/13/ 19:58:25.97147,1575837,1705562,8323165,3866949,196759,13893847,10813543,12648486,43,38
2016/02/13/ 19:58:26.97151,1573428,14287037,3145785,16384058,14942224,5898301,13631522,2621454,48,47
2016/02/13/ 19:58:27.97158,1581853,1706310,3735717,1900717,8716559,7929958,9175131,11403285,35,34
2016/02/13/ 19:58:28.95599,1578293,13500598,14877033,10813659,16121966,2883644,15925307,2949197,37,56
2016/02/13/ 19:58:29.94041,1573648,5112016,9175070,8585315,786585,7667749,12189715,3801099,37,61
2016/02/13/ 19:58:30.92483,1576822,15798019,8257643,11665717,5898478,7405809,8650881,13238341,23,48
