Time,0.1~4,4~7.5,8~13,13~30,30~70
2016_02_13_19_58_03_45300,229133.343647699,261865.738640659,167161.241492884,280503.895446461,309447.828498127
2016_02_13_19_58_07_46882,188828.180274791,235439.52225836,194105.091346895,283401.533113959,298675.999401402
2016_02_13_19_58_11_42214,185744.412208828,219257.169647858,151364.914837755,293225.372069666,334800.769168898
2016_02_13_19_58_15_42234,1983913.84915931,845821.536230095,417690.784357832,476504.372961219,410939.076858824
2016_02_13_19_58_19_39129,544908.235396308,405947.2898508,242098.058641528,516157.548401789,375958.889586837
2016_02_13_19_58_23_37586,601007.147056112,613694.022906496,359075.945221278,488538.05493044,395934.18411904
2016_02_13_19_58_27_37779,319141.925337719,271760.568476171,197154.159228787,484444.092645648,437200.424661107
2016_02_13_19_58_31_34673,389498.966874919,350622.591117124,336335.541333294,545045.757652421,460113.954386373
2016_02_13_19_58_35_33131,787505.437419411,463148.841871938,392307.938071611,656974.687846429,523644.845480617
2016_02_13_19_58_39_29815,289244.21148292,260381.81946055,261244.609472314,417876.855368462,373108.670066219
2016_02_13_19_58_43_31397,295789.118160373,219207.278086264,205923.575851923,336204.494105307,332743.242388111
2016_02_13_19_58_47_30684,333633.494199147,235315.489353382,213609.963611823,337390.794013761,366182.550812706
2016_02_13_19_58_51_28571,171973.576316614,181002.477029617,152895.523124082,335661.749727317,363653.671839234
2016_02_13_19_58_55_25466,258194.945694279,202492.89771571,189481.688394305,310218.017805532,355595.654830147
2016_02_13_19_58_59_23552,155733.690334843,114520.520852683,129857.234904065,311213.567193653,334596.575702721
2016_02_13_19_59_03_23677,308294.035118957,350812.070789997,198212.139541889,368026.603146792,390752.911044691
2016_02_13_19_59_07_21731,337781.726993124,220340.424201461,180355.781049062,399339.10959309,391275.96320125
2016_02_13_19_59_11_21797,269182.964551436,221999.971516526,173920.411509081,331919.524433548,352444.708503027
2016_02_13_19_59_15_20254,241614.949917736,200760.673290295,207583.08236417,381277.728005735,428216.513922152
2016_02_13_19_59_19_18711,174613.432664974,246462.674074356,173984.345089823,430239.407035057,399289.669869932
2016_02_13_19_59_23_15606,571125.903969665,431305.657756794,240927.064145441,383068.952022997,408811.639413359
2016_02_13_19_59_27_15530,1143262.94091543,762856.701455106,565520.37684962,822357.528460549,614061.236480722
2016_02_13_19_59_31_12425,2766473.12074197,1337315.6579149,653626.544384088,843140.777384151,631397.030571103
2016_02_13_19_59_35_12446,283440.189998418,235437.037457253,192735.36630243,346748.996053771,320901.838166651
2016_02_13_19_59_39_10903,403926.987590767,265308.197304209,235205.773992734,393128.169270159,311467.411087084
2016_02_13_19_59_43_09360,213493.399201101,247538.967870621,227765.933026849,383658.027303832,411325.263153086
